Time,MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
,True,28.285,4.947,6,"(63382,63453)","(68948,63504)","(66250,63637)","(46590,100851)","(80082,111422)","(91254,120923)"
,True,28.285,4.947,5,"(63381,63453)","(68946,63504)","(66250,63636)","(88349,103933)","(111103,109365)","(38222,109347)"
,True,28.285,4.947,6,"(63386,63452)","(68951,63503)","(66255,63633)","(111109,113055)","(129417,119518)","(127152,123718)"
,True,28.285,4.947,6,"(63384,63457)","(68950,63508)","(66256,63644)","(115677,108628)","(105525,110415)","(94293,121239)"
,True,28.285,4.947,7,"(63376,63459)","(68942,63511)","(66248,63649)","(98350,95010)","(64812,101301)","(122626,112416)"
,True,28.285,4.947,9,"(63385,63465)","(68949,63515)","(66259,63651)","(91922,104463)","(97733,107136)","(100846,118564)"
,False,28.285,4.947,4,"(63380,63457)","(68946,63508)","(66257,63636)","(17839,115373)","(68719,114155)","(106328,127871)"
,False,28.285,4.947,4,"(63380,63457)","(68946,63508)","(66257,63636)","(17839,115373)","(68719,114155)","(106328,127871)"
,False,28.285,4.947,9,"(63384,63453)","(68950,63505)","(66261,63628)","(120808,99141)","(86295,120404)","(124777,121149)"
,False,28.285,4.947,9,"(63384,63453)","(68950,63505)","(66261,63628)","(120808,99141)","(86295,120404)","(124777,121149)"
,True,28.285,4.947,5,"(63383,63455)","(68949,63505)","(66258,63635)","(97766,92400)","(103735,96232)","(44926,105140)"
,True,28.285,4.947,5,"(63383,63455)","(68949,63505)","(66258,63635)","(97766,92400)","(103735,96232)","(44926,105140)"
,True,28.285,4.947,10,"(63372,63470)","(68937,63521)","(66244,63660)","(102829,100702)","(94639,104896)","(98964,109214)"
,True,28.285,4.947,4,"(63366,63459)","(68931,63508)","(66237,63646)","(125903,129240)","(94014,114039)","(115236,117756)"
,True,28.285,4.947,4,"(63366,63459)","(68931,63508)","(66237,63646)","(125903,129240)","(94014,114039)","(115236,117756)"
,False,28.285,4.947,9,"(63350,63450)","(68915,63502)","(66220,63636)","(55730,103004)","(130087,103666)","(116664,109879)"
,False,28.285,4.947,8,"(63353,63451)","(68918,63503)","(66222,63635)","(111679,100884)","(124461,103690)","(125344,105589)"
,True,28.285,4.947,8,"(63354,63453)","(68921,63504)","(66223,63638)","(128459,113720)","(97147,120608)","(89273,123172)"
,True,28.285,4.948,8,"(63364,63456)","(68929,63506)","(66233,63641)","(46820,106498)","(126423,111307)","(116356,113896)"
,True,28.285,4.948,8,"(63364,63456)","(68929,63506)","(66233,63641)","(46820,106498)","(126423,111307)","(116356,113896)"
,True,28.284,4.95,10,"(63370,63448)","(68934,63498)","(66239,63633)","(111448,94196)","(80845,95307)","(47457,104256)"
,True,28.285,4.953,5,"(63374,63448)","(68939,63497)","(66243,63639)","(126558,109839)","(120511,111928)","(88863,103361)"
,True,28.285,4.955,7,"(63377,63438)","(68941,63488)","(66248,63630)","(72117,113947)","(64386,114050)","(95951,118638)"
