MarkersValid,TrolleyPos,Hoistpos,NoOfMarkers,m1,m2,m3,m4,m5,m6
True,-10.938,5.29,3,"(65122,62961)","(65383,65641)","(64929,68233)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.938,5.29,3,"(65122,62961)","(65383,65641)","(64929,68233)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.94,6.401,3,"(65193,62799)","(65484,65535)","(65016,68183)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.939,7.13,3,"(65137,62737)","(65421,65513)","(64964,68196)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.939,7.13,3,"(65137,62737)","(65421,65513)","(64964,68196)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.939,7.995,3,"(65323,62639)","(65644,65461)","(65153,68193)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.938,8.901,3,"(65262,62561)","(65566,65435)","(65098,68221)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.938,8.901,3,"(65262,62561)","(65566,65435)","(65098,68221)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.938,9.796,3,"(65401,62487)","(65729,65412)","(65240,68250)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,10.722,3,"(65547,62417)","(65893,65405)","(65390,68304)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,10.722,3,"(65547,62417)","(65893,65405)","(65390,68304)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.942,11.713,3,"(65577,62355)","(65911,65399)","(65420,68358)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,12.814,3,"(65785,62289)","(66152,65411)","(65626,68447)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,12.814,3,"(65785,62289)","(66152,65411)","(65626,68447)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,13.909,3,"(65839,62271)","(66207,65479)","(65681,68588)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.939,15.078,3,"(65954,62234)","(66325,65528)","(65789,68720)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.939,15.078,3,"(65954,62234)","(66325,65528)","(65789,68720)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.936,16.176,3,"(66051,62200)","(66447,65580)","(65884,68856)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.938,17.224,3,"(66109,62205)","(66510,65678)","(65936,69036)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.938,17.224,3,"(66109,62205)","(66510,65678)","(65936,69036)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,18.337,3,"(66165,62162)","(66572,65728)","(65987,69183)","(53988,70329)","(69367,70476)","(128541,76826)"
True,-10.937,19.358,3,"(66236,62171)","(66662,65836)","(66046,69377)","(53988,70329)","(69367,70476)","(128541,76826)"
