,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps
0,0.0.0.0,224.0.0.1,4,60.0,60,60,7.397,18.522,0.634
1,104.208.16.88,192.168.229.51,1,60.0,60,60,,,
2,13.107.136.254,192.168.229.51,1,60.0,60,60,,,
3,13.107.43.254,192.168.229.51,1,60.0,60,60,,,
4,13.107.6.160,192.168.229.51,100,230.5,1406,60,0.648,6.4,0.0
5,13.224.111.111,192.168.229.51,10,87.6,90,66,3.333,14.726,0.223
6,13.89.178.26,172.20.1.253,5,228.8,479,60,3.454,8.727,0.0
7,13.89.179.8,192.168.229.51,16,113.938,501,60,0.434,5.734,0.0
8,13.89.179.9,192.168.229.51,128,151.68,1406,60,0.444,7.411,0.0
9,142.250.184.174,192.168.229.51,4,183.0,183,183,9.728,28.672,0.028
10,142.250.185.10,192.168.229.51,4,79.75,127,60,16.887,45.027,0.024
11,142.250.185.3,192.168.229.51,6,84.333,127,60,11.978,38.456,0.025
12,142.250.185.4,192.168.229.51,18,534.5,1406,60,0.741,9.953,0.0
13,142.250.200.110,192.168.229.51,3,84.333,127,60,7.434,14.842,0.027
14,142.250.200.131,192.168.229.51,2,93.5,127,60,0.028,0.028,0.028
15,142.250.200.98,192.168.229.51,1,66.0,66,66,,,
16,142.250.200.99,192.168.229.51,17,582.706,1392,60,2.063,32.282,0.0
17,142.251.36.35,192.168.229.51,1,66.0,66,66,,,
18,143.166.199.30,192.168.229.51,5,61.4,66,60,0.331,0.999,0.0
19,143.166.28.30,192.168.229.51,4,69.75,74,66,0.089,0.134,0.0
20,149.154.167.91,192.168.229.51,7,126.143,159,60,10.98,25.371,0.002
21,154.61.95.17,192.168.229.51,2,86.0,86,86,42.307,42.307,42.307
22,162.159.26.27,192.168.229.51,6,97.667,139,77,7.415,36.676,0.073
23,162.159.27.78,192.168.229.51,7,103.571,139,77,6.109,36.259,0.064
24,172.16.0.98,239.255.255.250,3,60.0,60,60,28.461,38.75,18.171
25,172.18.226.121,192.168.229.51,45591,792.016,1506,60,0.002,0.158,0.0
26,172.20.0.123,224.0.0.251,2,60.0,60,60,21.496,21.496,21.496
27,172.20.0.124,172.20.255.255,1,243.0,243,243,,,
28,172.20.0.124,224.0.0.252,1,60.0,60,60,,,
29,172.20.0.126,172.20.255.255,1,243.0,243,243,,,
30,172.20.0.126,224.0.0.252,2,60.0,60,60,9.001,9.001,9.001
31,172.20.0.127,172.20.255.255,3,92.0,92,92,0.764,0.764,0.764
32,172.20.0.127,224.0.0.252,3,64.0,66,60,9.25,18.393,0.107
33,172.20.0.139,172.20.255.255,1,243.0,243,243,,,
34,172.20.0.139,224.0.0.251,1,60.0,60,60,,,
35,172.20.0.148,172.20.1.253,49,241.571,1514,60,0.926,12.482,0.0
36,172.20.0.148,224.0.0.252,2,60.0,60,60,12.997,12.997,12.997
37,172.20.0.149,224.0.0.251,1,60.0,60,60,,,
38,172.20.0.149,224.0.0.252,2,60.0,60,60,4.992,4.992,4.992
39,172.20.0.149,239.255.102.18,2,60.0,60,60,14.504,14.504,14.504
40,172.20.0.15,172.20.255.255,1,243.0,243,243,,,
41,172.20.0.15,224.0.0.251,1,60.0,60,60,,,
42,172.20.0.15,239.255.255.250,1,60.0,60,60,,,
43,172.20.0.150,224.0.0.251,1,60.0,60,60,,,
44,172.20.0.153,224.0.0.252,1,60.0,60,60,,,
45,172.20.0.157,224.0.0.251,1,60.0,60,60,,,
46,172.20.0.158,224.0.0.252,1,60.0,60,60,,,
47,172.20.0.179,224.0.0.251,21,247.429,339,147,2.276,20.01,0.0
48,172.20.0.180,224.0.0.251,1,60.0,60,60,,,
49,172.20.0.180,228.5.6.7,2,60.0,60,60,58.724,58.724,58.724
