,Source,Destination,num_packets,avg_packet_length,max_packet_length,min_packet_length,time_gaps,max_time_gaps,min_time_gaps,cluster
0,0,55,4,60.0,60,60,7.397,18.522,0.634,0
1,1,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
2,2,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
3,3,37,1,60.0,60,60,-1.0,-1.0,-1.0,0
4,4,37,100,230.5,1406,60,0.648,6.4,0.0,0
5,5,37,10,87.6,90,66,3.333,14.726,0.223,0
6,6,25,5,228.8,479,60,3.454,8.727,0.0,0
7,7,37,16,113.938,501,60,0.434,5.734,0.0,0
8,8,37,128,151.68,1406,60,0.444,7.411,0.0,0
9,9,37,4,183.0,183,183,9.728,28.672,0.028,0
10,10,37,4,79.75,127,60,16.887,45.027,0.024,0
11,11,37,6,84.333,127,60,11.978,38.456,0.025,0
12,12,37,18,534.5,1406,60,0.741,9.953,0.0,0
13,13,37,3,84.333,127,60,7.434,14.842,0.027,0
14,14,37,2,93.5,127,60,0.028,0.028,0.028,0
15,15,37,1,66.0,66,66,-1.0,-1.0,-1.0,0
16,16,37,17,582.706,1392,60,2.063,32.282,0.0,0
17,17,37,1,66.0,66,66,-1.0,-1.0,-1.0,0
18,18,37,5,61.4,66,60,0.331,0.999,0.0,0
19,19,37,4,69.75,74,66,0.089,0.134,0.0,0
20,20,37,7,126.143,159,60,10.98,25.371,0.002,0
21,21,37,2,86.0,86,86,42.307,42.307,42.307,1
22,22,37,6,97.667,139,77,7.415,36.676,0.073,0
23,23,37,7,103.571,139,77,6.109,36.259,0.064,0
24,24,68,3,60.0,60,60,28.461,38.75,18.171,1
25,25,37,45591,792.016,1506,60,0.002,0.158,0.0,2
26,26,57,2,60.0,60,60,21.496,21.496,21.496,1
27,27,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
28,27,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
29,28,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
30,28,58,2,60.0,60,60,9.001,9.001,9.001,0
31,29,26,3,92.0,92,92,0.764,0.764,0.764,0
32,29,58,3,64.0,66,60,9.25,18.393,0.107,0
33,30,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
34,30,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
35,31,25,49,241.571,1514,60,0.926,12.482,0.0,0
36,31,58,2,60.0,60,60,12.997,12.997,12.997,0
37,32,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
38,32,58,2,60.0,60,60,4.992,4.992,4.992,0
39,32,67,2,60.0,60,60,14.504,14.504,14.504,0
40,33,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
41,33,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
42,33,68,1,60.0,60,60,-1.0,-1.0,-1.0,0
43,34,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
44,35,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
45,36,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
46,37,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
47,38,57,21,247.429,339,147,2.276,20.01,0.0,0
48,39,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
49,39,61,2,60.0,60,60,58.724,58.724,58.724,1
50,40,61,2,60.0,60,60,62.557,62.557,62.557,1
51,41,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
52,41,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
53,42,57,11,163.0,163,163,4.947,10.757,0.668,0
54,43,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
55,43,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
56,44,26,1,243.0,243,243,-1.0,-1.0,-1.0,0
57,44,57,1,60.0,60,60,-1.0,-1.0,-1.0,0
58,44,58,1,60.0,60,60,-1.0,-1.0,-1.0,0
